No;Sumber;Tanggal;Judul;Berita
11;http://news.metrotvnews.com/metro/zNPoAlVK-kebakaran-landa-pemukiman-di-kemanggisan-pulo;09-Mei-16;Kebakaran Landa Pemukiman di Kemanggisan Pulo;"Kebakaran melanda pemukiman warga di Kemanggisan Pulo, Jakarta Barat. Api diperkirakan muncul sekira pukul 21.43 WIB, Senin 9 Mei 2016.

""Terjadi kebakaran di Jalan Kemanggisan Pulo, RT 1/17, Palmerah, Jakbar,"" cuit akun @TMCPoldaMetro.
Dari foto yang diunggah warga ke @TMCPoldaMetro, asap pekat terlihat membumbung tinggi akibat api yang cukup besar. Sekira pukul 22.00 WIB, petugas pemadam masih berusaha memadamkan api.

""Kebakaran di Kemanggisan Pulo, Palmerah, Jakbar dan masih penanganan DPK,"" cuit lagi akun @TMCPoldaMetro.

Sementara itu masih belum diketahui berapa banyak kerugian dan penyebab akibat peristiwa tersebut. Hingga saat ini Sudin Damkar Jakarta Barat belum bisa dimintai informasi.
"
12;http://news.metrotvnews.com/metro/wkB8qBgN-12-unit-mobil-damkar-padamkan-api-di-lenteng-agung;09-Mei-16;12 Unit Mobil Damkar Padamkan Api di Lenteng Agung;"Kebakaran melanda pemukiman warga di Lenteng Agung, Jakarta Selatan. Api muncul sekira pukul 17.45 WIB. Sebanyak 12 unit mobil pemadam kebakaran pun diterjunkan ke lokasi.

""Ada 12 unit damkar yang kami turunkan,"" kata petugas operator Sudin Damkar Jakarta Selatan, Aryo, saat dihubungi Metrotvnews.com, Senin (9/5/2016).
Saat ini api sudah berhasil dipadamkan. Tidak ada korban dalam peristiwa kebakaran tersebut.""Api berhasil dipadamkan pukul 18.30 WIB, korban nol,"" ujar Aryo.

Belum diketahui penyebab dari kebakaran tersebut. Aryo pun belum dapat menjelaskan berapa banyak rumah yang hangus akibat kebakaran itu.

""Datanya belum masuk di kami, tim masih di lapangan,"" ungkap Aryo.
"
13;http://news.metrotvnews.com/politik/GNGXyDpb-risma-ogah-bicarakan-dki-di-istana-presiden;09-Mei-16;Risma Ogah Bicarakan DKI di Istana Presiden;"Wali Kota Surabaya Tri Rismaharini tidak berniat ikut Pilkada DKI 2017. Risma tidak ingin mengingkari janjinya pada warga Surabaya.
 
""Saya sudah janji sama warga Surabaya, tidak mungkin (ikut Pilkada DKI). Apa namanya seenaknya saya tinggalkan begitu,"" kata Risma usai mengikuti rapat terbatas soal penilaian Standard and Poor dan Ease of Doing Business di Kantor Presiden, Jakarta Pusat, Senin (9/5/2016).
 
Risma berkeras akan mengabdi di Surabaya. Kepercayaan rakyat membuat dia memilih sebisa mungkin bertahan. Risma belum percaya diri memegang kendali wilayah yang lebih besar dari Surabaya. Penduduk Surabaya, kata Risma, hanya seperempat penduduk Jakarta.
 
""Luas wilayahnya itu separuhnya DKI. Kalau saya dibandingkan DKI, saya itu seperti tiga kali wali kota. Lebih berat,"" kata Risma.
 
Risma juga mengaku belum pernah membicarakan Pilkada DKI Jakarta 2017. Pertemuannya dengan Ketua Umum PDI Perjuangan Megawati Soekarnoputri hanya membicarakan kinerja dan hasil kerjanya di Surabaya. ""Ibu (Megawati) tidak bicara sama sekali (tentang Pilkada DKI),"" tegas dia.
 
Risma mengklaim tak akan goyah pendirian meski PDI Perjuangan sebagai wadah politiknya meminta khusus untuk bertarung di Pilkada DKI. Ia memilih menjelaskan kondisi sebenarnya.
 
Sesaat setelah memenangkan pertarungan kursi wali kota Surabaya, Risma telah menyampaikan langsung kepada Megawati dirinya tak akan berpaling dari kota itu.
 
""Saya sampaikan saya sudah janji kepada keluarga, saya tidak meninggalkan mereka. Saya sampaikan begitu,"" ujar dia.
 
Risma mengaku pernah ditawari menjadi menteri ketika proses kampanye Joko Widodo menuju kursi presiden. Begitu Jokowi dinyatakan menang, Risma langsung menghadap Megawati.
 
""Saya menghadap Ibu, 'Bu, saya tidak mau jadi menteri. Saya ingin tetap jadi wali kota saja'. Saya bilang begitu. Boleh tanya Ibu (Megawati),"" kata Risma."
14;http://news.metrotvnews.com/politik/3NOY5OXk-indonesia-tiongkok-perkuat-hubungan-bilateral-di-semua-lini;09-Mei-16;Indonesia-Tiongkok Perkuat Hubungan Bilateral di Semua Lini;"Presiden Joko Widodo menerima delegasi State Councillor of the People's Republic of China di Istana Merdeka. Menurut Menteri Luar Negeri Retno Marsudi, delegasi Tiongkok membawa pesan dari Presiden Xi Jin Ping terkait komitmen kerja sama Indonesia-Tiongkok.

""Komitmen RRT meningkatkan hubungan bilateral dengan Indonesia di semua lini, di semua bidang, dari ekonomi, trade, investment, dan lain-lain,"" kata Retno di Kompleks Istana Kepresidenan, Jakarta Pusat, Senin (9/5/2016).
Kerja sama bidang perdagangan antarnegara cukup besar, mencapai USD44,4 miliar. Namun, ada tren penurunan yang membuat Joko Widodo meminta dua pihak kembali meningkatkan kerja sama bidang perdagangan.

""Ada usul dari Indonesia misalnya Indonesia akan mendirikan Indonesian Trade Promotion Centre (ITPC) di Shanghai, pusat promosi di Beijing, dan lain-lain. Dan Presiden minta hambatan-hambatan perdagangan ini dapat diangkat,"" ujar Retno.

Sementara itu, di bidang investasi, tahun ini Tiongkok mengalami peningkatan signifikan, yakni 400 persen. Joko Widodo menyambut baik.
Presiden ke-7 Indonesia ini juga menyampaikan upaya Indonesia menarik investor asing ke negeri ini. Investor bidang perdagangan dan investasi menjadi target Indonesia dalam konteks ini.

Komunikasi menteri-menteri antarnegara pun diperkuat. Intensifikasi kontak pertemuan pejabat Indonesia-Tiongkok juga diklaim meningkat.

Pertemuan juga membahas kerja sama infrastruktur yang saat ini berjalan. Namun, pembahasan hanya sebatas perkembangan, tak terlalu mendalam.
"
15;http://news.metrotvnews.com/peristiwa/9K5G77lb-genangan-air-timbul-di-beberapa-titik;08-Mei-16;Genangan Air Timbul di Beberapa Titik;"Hujan mengguyur DKI Jakarta dan sekitarnya, Minggu (8/5/2016) sore. Hal ini menyebabkan timbulnya genangan air di beberapa titik. 
Dinas Sosial DKI Jakarta melalui akun Twitter-nya menyebutkan, Kelurahan Cipinang Melayu, Makasar, Jakarta Timur, salah satu kawasan yang dilanda banjir. Genangan air setidaknya tercipta pada sebelas RT di dua RW di Cipinang Melayu.
Di Jakarta Barat juga terdapat genangan seperti diinformasikan TMC Polda Metro Jaya. Banjir terjadi di Taman Ratu, Duri Kepa, Jalan Kedoya Raya, dan sekitar Universitas Trisaksi dengan ketinggian sekitar 20 cm sampai 30 cm. 
Genangan juga menlanda Bekasi. Beberapa wilayah yang tergenang yakni Perum Grand Galaxy Park, Villa Pekayon, Grand Galaxy Bekasi, dan Kemang Pratama.
"
;;;;
;;;;
;;;;
;;;;
;;;;
